,PetID,sentiment_document_score,sentiment_document_magnitude
130,dbba10f87,0.6,0.6
131,763264fa2,0.0,7.5
132,74f391caa,0.9,0.9
133,c565589a8,0.0,0.0
134,63a4f8b8a,0.2,2.5
135,fb5ef5522,0.7,0.7
136,4a67bf90d,-0.1,2.6
137,ecbd85af1,0.5,0.5
138,fae628c13,0.3,1.1
139,c76384236,0.3,1.1
140,32f617eda,0.4,2.7
141,9f7bf4f71,0.0,5.8
142,861c903b6,0.3,2.1
143,4de32c463,-0.3,1.6
144,5bc5b2ced,0.3,1.9
145,39ef18e70,0.0,0.1
146,54b687d7c,0.9,0.9
147,303ecdb58,0.1,6.8
148,c23b2926e,0.2,1.0
149,7baa8082a,0.6,1.2
150,ec8608c1c,0.3,4.3
151,cd469a42f,0.4,0.8
152,acf289a37,0.0,2.9
153,2c15f3086,0.5,1.7
154,f319a49de,0.4,2.3
155,8a615bfca,0.2,2.4
156,1ff51137d,0.2,0.8
157,cc0f5d3ba,0.6,1.2
158,9fd2b640f,-0.2,1.1
159,ac384792b,0.2,0.7
160,179c21d17,0.8,1.6
161,d042e55ce,0.8,0.8
162,1a4a2e683,0.0,0.0
163,47aacf137,0.6,3.8
164,48899f983,0.9,0.9
165,92586e5a3,0.1,2.2
166,4e6750363,0.3,2.2
167,27e8956dc,0.3,4.8
168,941eb9304,0.0,1.8
169,1fd1d2349,0.0,3.4
170,da4da9308,0.2,0.8
171,094c2c3bf,0.5,1.7
172,e9a379c0e,0.2,0.5
173,8f45b9967,0.1,0.1
174,a4ebfdf22,0.5,0.5
175,29900d942,0.4,0.8
176,ff3d455a0,-0.1,0.1
177,46152db3e,0.4,1.8
178,43c43bfed,0.2,0.2
179,ed8e10562,0.7,0.7
180,2ef82137f,0.5,2.5
181,e388a963d,0.2,1.7
182,6f1e6e8ed,0.4,3.1
183,fda10b9ed,0.5,1.1
184,53895ad35,-0.1,0.7
185,79fd13ffd,0.3,1.0
186,14bbc5876,0.2,1.7
187,e58dde7d7,0.1,2.2
188,c70867d90,0.2,2.5
189,6dc193313,0.9,1.8
190,fc4989906,0.2,3.5
191,0af685a60,0.0,1.1
192,649589d9f,0.3,1.1
193,12ba67e43,0.4,2.4
194,ec5069cf6,0.8,0.8
195,f5dc6f316,0.3,1.3
196,bb74d75c2,0.7,0.7
197,26cd1c2ee,0.3,4.1
198,21206933c,0.3,0.3
199,5f64ee888,0.6,0.6
200,41c09806e,0.4,3.0
201,a71f9ca6b,0.9,3.6
202,323803a9b,0.2,6.9
203,79799da25,0.1,2.1
204,dcd93c794,0.7,0.7
205,f982548b8,0.6,1.9
206,8b6867433,0.0,2.3
207,86c7b7486,0.2,2.4
208,6b2fc7a10,0.0,1.0
209,ccd20906b,0.0,0.0
210,115a4b208,0.1,0.1
211,7dac377c6,0.6,2.9
212,6d1c281f9,0.3,2.3
213,a1cb8764d,0.6,1.9
214,794a45833,0.0,0.0
215,93d43258b,-0.1,0.4
216,670535e94,0.7,1.5
217,75fccfb43,0.7,0.7
218,747c82f83,0.6,1.9
219,69275e62d,0.8,0.8
220,df3756483,0.2,1.6
221,c220b4764,0.2,1.7
222,34edfc9d5,0.6,2.5
223,b3e897856,0.4,0.8
224,6561001c8,0.3,0.6
225,081199ea2,0.5,5.1
226,a6b5ed0f7,0.3,2.4
227,67e7da152,0.5,1.1
228,28b64c198,0.2,1.1
229,b64307878,0.5,1.7
230,22cf2902d,0.3,1.2
231,af1c2888d,-0.7,0.7
232,df880995b,0.3,2.1
233,08dfce1e7,0.7,1.4
234,6b65fa006,0.8,1.7
235,55ccb364d,0.3,3.5
236,c52b99ee2,0.0,2.9
237,cf49e1549,0.4,1.7
238,40bd89515,0.9,0.9
239,f8d16f3ef,0.4,3.3
240,d2355d242,0.0,1.8
241,6316b9647,0.1,3.7
242,47163bb58,0.3,0.3
243,489d05a55,0.3,6.6
244,ee640a6ba,0.9,0.9
245,c3eefdcd8,0.3,2.1
246,efb2cb92c,0.3,1.4
247,8ad59da0e,0.3,0.3
248,68cdd6d6b,0.2,3.0
249,9c803d826,0.3,3.2
250,cfa2afea2,0.4,0.9
251,034259113,0.0,0.0
252,13bbf723c,0.0,2.9
253,b9cb2f0fd,0.2,1.2
254,4696fb463,0.3,2.0
255,bad338993,0.3,1.1
256,2cb9d0599,0.2,0.5
257,3be154287,0.1,2.0
258,d1ef30b8a,0.7,2.8
259,a479a1a6a,0.3,0.9
260,615afad71,0.2,1.3
261,81d82bda3,0.6,4.1
262,ae0076e01,0.1,0.9
263,a116545f6,0.3,2.4
264,e60bbc064,0.3,3.6
265,ebc345fe0,0.0,0.5
266,f4df06287,0.3,3.7
267,bde40e198,0.4,0.8
268,43c8e589d,0.1,0.8
269,a927d96ba,0.8,0.8
270,703c9a23b,0.8,1.7
271,3aa13a0b0,-0.3,1.5
272,a372e8416,0.3,1.4
273,a90d6fbee,0.5,1.1
274,c397b09d8,0.0,2.9
275,235572f38,0.2,0.5
276,b37af97a8,0.8,0.8
277,b5757bc3f,0.3,3.9
278,a062234cb,0.2,4.0
279,d92d4242a,0.3,2.5
280,10ae2697f,0.0,3.3
281,6ebcc7756,0.3,2.4
282,8cce291a9,0.7,0.7
283,2fe763187,0.8,2.5
284,e5ffc0a9d,0.1,2.7
285,915f0b42a,0.1,0.5
286,330f0e19a,0.6,0.6
287,7b5012939,0.0,0.0
288,036e015d2,0.2,1.4
289,3fa0de4e4,0.0,0.6
290,95b24de4a,0.3,2.2
291,8939a1ac8,0.6,3.2
292,c7b468b32,0.0,0.0
293,486f89692,0.8,1.7
294,112ae92e0,0.3,2.6
295,2ecaaae2d,0.0,0.7
296,e29fd3f0a,0.8,1.7
297,6bacb98ab,0.3,0.7
298,5842f1ff5,0.9,0.9
299,bb9ef04d1,0.5,1.5
300,455d243eb,0.6,0.6
301,2959602fc,0.4,2.9
302,09d9212f5,0.3,0.3
303,9120f2894,0.3,0.3
304,4d40cfa55,0.2,1.4
305,511b245a5,0.4,0.9
306,3f0dca87f,-0.1,0.1
307,51b7034e6,0.0,0.4
308,8803fb1c2,0.3,3.3
309,be5f7a129,0.3,1.2
310,fd139f4e4,0.2,1.3
311,699365a99,0.2,0.9
312,c6942a43f,0.5,1.7
313,d4066ef07,0.0,0.0
314,6764e8752,0.0,0.0
315,c1653516e,0.0,0.0
316,c05a85bbb,0.4,10.7
317,f399cf0d2,0.6,1.3
318,7e0f474bc,0.0,2.1
319,d2b949618,0.2,0.8
320,52ff28c14,0.2,4.6
321,0f122f712,0.0,0.0
322,a322972da,0.2,2.7
323,41c83dda8,0.6,1.8
324,64dbb2214,0.3,4.2
325,6fa5384b8,0.3,4.0
326,ae0a993ac,0.4,1.7
327,a40a230be,0.1,0.5
328,b99186353,0.1,1.0
329,c5b5d2650,0.2,0.8
330,db33da35e,0.9,0.9
331,a9772bfa3,0.2,2.9
332,d0b5fece1,0.1,1.6
333,a03330405,0.5,5.6
334,9d08c85ef,0.1,1.4
335,a58d8080b,0.5,3.6
336,a8eed143b,0.2,3.1
337,a4221001f,0.0,0.0
338,32148e0fc,0.3,2.5
339,47ecc7ef4,0.4,2.0
340,a78dcb663,0.1,0.1
341,be3508ce5,0.0,0.0
342,fb24264ea,0.3,0.3
343,4fc4ac031,0.5,5.1
344,e8e054802,0.3,0.6
345,5f1896e5d,0.0,3.1
346,cab92d5a3,0.1,1.3
347,4f512c3fe,0.0,1.8
348,0243911ea,0.0,0.2
349,e5c42ae26,0.2,0.2
350,63f28922e,0.7,6.5
351,4f23f9105,0.4,0.9
352,c969e8b17,0.1,2.9
353,92d830572,0.3,5.0
354,5bda8f113,0.4,2.4
355,1f33216f7,-0.3,1.1
356,5112569f6,0.6,1.2
357,b5ff2b987,0.1,0.1
358,32ef0472e,0.1,2.8
359,3712c63fd,-0.3,1.0
360,e96d122ed,0.8,0.8
361,435f8cb3d,0.6,0.6
362,4d8f211f8,0.2,4.6
363,eea15297e,-0.3,0.3
364,84e1e59d5,0.0,0.0
365,bc6d86a40,0.0,0.1
366,021c24928,0.3,1.2
367,888a7fc17,0.9,0.9
368,4450385b4,0.6,2.0
369,a2a899dab,0.3,3.1
370,086ed2122,0.9,0.9
371,c58018973,0.4,0.8
372,c001a0b58,0.4,1.9
373,c1b7a178a,0.4,1.6
374,cbef1e6db,0.7,1.4
375,339a623c4,0.3,1.1
376,bac8c1a73,0.5,2.0
377,72d77924a,0.5,3.1
378,ace3a3299,0.0,1.0
379,8507df043,0.3,0.3
380,838e46496,0.0,0.3
381,4059df1bf,0.4,3.7
382,73680f695,0.6,0.6
383,8834ac7da,0.5,1.1
384,fe2d576c2,0.3,1.7
385,88db34068,0.4,2.9
386,32141c266,0.2,0.9
387,bb567f5cd,0.9,0.9
388,a5c5278b8,0.1,0.6
389,a0b92d7a2,0.7,1.4
390,86ce90970,0.3,3.3
391,b26f1c630,0.2,2.3
392,963520a2c,0.1,0.1
393,46d88ca3e,0.3,2.7
394,65470d9c0,0.0,4.3
395,e3e66cb5a,0.2,1.2
396,44fff524f,0.2,0.2
397,6fea8ac52,0.5,1.7
398,8632f7132,0.4,1.3
399,632a3742c,0.0,0.0
400,c68bc0253,0.3,1.3
401,fb9783859,0.3,0.3
402,e241fc7da,-0.4,0.8
403,4b261a0ee,-0.3,1.3
404,0eaa9f888,0.1,2.3
405,434a2904c,0.3,2.1
406,3e0ae8fb1,0.8,0.8
407,6219a1e79,0.3,1.2
408,979710375,0.3,2.3
409,f600bc8d1,0.0,3.7
410,0497c5ed8,0.2,1.9
411,680e24130,0.3,3.4
412,c8049d235,0.1,1.0
413,492f70d19,0.0,1.4
414,9b74f88cf,0.0,1.6
415,d21ed8b84,0.3,1.3
416,10337747f,0.4,2.0
417,0b817da84,0.4,0.4
418,1b4690d1f,0.8,0.8
419,732a2ed35,0.4,2.7
420,8b2d9c8f5,0.2,0.2
421,8c70e9de2,0.0,0.0
422,536af3840,0.3,5.1
423,ed5c2d9dd,0.1,1.2
424,a39e58f1f,0.1,0.4
425,91ef9278d,0.8,0.8
426,514319114,0.3,1.3
427,048cd8bc0,0.0,3.3
428,b6004bb5d,0.9,0.9
429,8b9d9a18b,0.4,1.7
430,0bc3f09be,0.0,2.3
431,afc933f32,0.0,1.3
432,411bb17a0,0.0,0.1
433,bfdc4cd9d,0.5,0.5
434,9a770c49a,0.2,6.4
435,05f84991b,0.1,3.5
436,412b8d565,0.2,1.6
437,bf74b13ab,0.1,1.4
438,284be445a,0.2,0.8
439,ee8c56246,0.4,2.0
440,192303603,0.2,1.1
441,4525391a7,0.6,4.4
442,72e24597c,0.3,0.3
443,c40052aba,0.1,3.5
444,da9d78f91,0.2,1.1
445,734459ad1,0.1,3.2
446,94f353c2f,0.5,2.0
447,33dc6b53a,0.3,3.4
448,8ff2c63c4,0.5,1.9
449,ffe5a0271,0.4,1.7
450,511b4a044,0.1,2.7
451,ff96988fc,0.1,1.6
452,4c2f127c7,0.9,0.9
453,619dcb4e6,0.2,3.5
454,7adf54516,0.0,14.6
455,ac9fefd28,0.7,3.5
456,6774f84e3,0.2,3.4
457,677968b60,0.1,2.4
458,073f265c3,0.9,1.8
459,ece153328,0.0,2.6
460,2e1e8bbe3,0.3,1.1
461,2ad565311,0.4,1.4
462,dcd75bfdb,0.2,4.7
463,c0574c31a,0.5,1.7
464,af843bbce,0.6,3.9
465,8bf918bff,0.6,0.6
466,58a79a8a1,0.1,3.7
467,1f983f20b,0.5,2.8
468,c484dec95,0.2,3.1
469,894d76b65,0.0,0.0
470,393365063,0.3,0.3
471,d0277b9d3,0.4,2.5
472,baa309426,0.1,1.1
473,760c7d8ac,0.0,2.6
474,a234c6496,0.2,0.5
475,fab1170a2,0.4,2.5
476,0ac6fe826,0.4,1.6
477,b114199dd,0.4,2.5
478,2dccbfd25,0.4,3.7
479,f6ec35f31,0.1,1.7
480,d55faa0ff,0.0,1.6
481,04e966b1c,0.3,2.2
482,2bd8e5830,0.3,1.2
483,d8f35138d,0.2,0.2
484,f9d621157,0.6,5.9
485,4771e1226,0.3,1.1
486,c39793853,0.2,2.6
487,67c74483f,0.3,1.8
488,9e165fb1c,0.1,0.1
489,4cc49be2a,0.5,1.7
490,a8f43bea5,0.2,1.3
491,d25638f81,0.6,1.8
492,94d2d552b,0.4,2.1
493,951d3ae42,0.5,1.1
494,a0c9daa0a,0.0,0.2
495,7fe0a86f8,0.2,3.6
496,a8c19a325,0.0,5.3
497,1eb9e42bd,0.4,0.8
498,d07d9ab13,0.8,3.2
499,df72d8a20,-0.1,2.8
500,c99720dbb,0.4,2.9
501,b0d8b0778,0.3,0.3
502,65b70bad8,-0.1,10.6
503,6341e0577,0.0,0.0
504,532b5a798,0.3,1.2
505,074d26284,0.0,0.0
506,d6a2a2e37,0.3,1.0
507,8c28914a9,0.0,0.1
508,00af25fc0,0.4,4.6
509,09898b12e,0.7,1.5
510,f336dbe0f,0.2,0.4
511,d3ff1ea74,0.2,1.3
512,8e8080bbe,0.4,2.3
513,fa87afa7d,0.0,16.4
514,117fb58c9,0.2,3.8
515,bb5162df6,0.0,2.8
516,51c04983b,0.9,0.9
517,f49099d52,0.3,4.9
518,4e0a9cfec,0.5,1.6
519,1ffe15ff7,0.2,1.3
520,f8530e295,0.6,1.3
521,767be5091,0.3,4.2
522,de9e02d44,0.6,3.0
523,4bdc7be69,0.0,0.0
524,352ba3335,0.0,1.5
525,c863daf49,0.3,3.7
526,ecb6979fa,0.2,0.6
527,8cc2eea7f,0.8,0.8
528,6257ac9e4,0.4,5.6
529,c0604b559,0.6,2.7
530,c67d871e3,-0.1,4.8
531,ca457392b,0.3,1.6
532,cc0d4cec3,0.6,0.6
533,ad491b969,0.1,0.4
534,67efce2e0,0.1,4.6
535,74e81519b,0.5,1.0
536,94a0eb345,0.4,8.5
537,3aa622eed,0.0,1.5
538,dde9d290a,0.9,1.9
539,35593da00,0.0,0.0
540,a113449ce,0.3,2.7
541,cccd16111,0.4,3.8
542,12e747332,0.0,0.0
543,924373704,0.9,0.9
544,d38bcdf49,0.6,1.9
545,6cf058ab3,0.0,2.0
546,eb9b9400e,-0.2,0.5
547,84f308399,0.2,0.5
548,7ed568ab9,0.0,0.7
549,24993107f,0.2,3.3
550,754240b6b,0.0,1.8
551,4ceff22c4,0.6,0.6
552,5b7007847,0.0,0.0
553,1c8ab73ca,0.3,2.9
554,610c05772,0.2,3.1
555,f9b28d664,0.9,1.8
556,4effbea00,0.3,9.9
557,1caf9686d,0.3,3.7
558,36332af6d,0.1,2.5
559,dad58d0a7,0.4,1.9
560,adb97bde0,0.3,1.1
561,55f34f8f5,0.4,1.7
562,31c2215c1,0.3,2.2
563,5a828ec3e,0.0,0.0
564,3e42f0f7a,0.0,4.8
565,562b8da1d,0.2,1.8
566,3ca799ab8,0.2,2.1
567,37fdaf339,0.4,1.4
568,da34209ec,0.3,7.7
569,fed3c719a,0.4,2.8
570,b3ae374f7,0.4,1.8
571,1e011d469,0.1,5.3
572,fc2925be3,0.1,2.9
573,edc5c168a,0.4,1.9
574,927ee6390,0.5,3.1
575,3658ee105,0.5,1.1
576,ed97d1485,0.6,1.8
577,bf497e792,0.0,2.6
578,198357b7e,0.0,1.0
579,775d4b52e,0.3,0.3
580,c29a364bc,0.0,4.7
581,69d95bc54,0.2,0.2
582,2b3fc0265,0.2,1.7
583,901ff85c1,0.4,6.0
584,2a726e0a2,-0.3,0.3
585,4b949e5c7,0.4,0.9
586,3d939327d,0.6,3.0
587,01c6d3224,0.1,0.2
588,3998bcfec,0.1,1.1
589,5aeba57be,0.3,2.6
590,1bd13d3e5,0.2,1.2
591,9726ab93e,0.2,3.6
592,e7f7066b6,0.5,0.5
593,0cb5ad250,0.1,3.7
594,230e1df8f,0.2,5.6
595,c68f66799,0.0,3.5
596,bb2c896c5,-0.4,0.4
597,062f73a4b,0.0,0.0
598,ff065ec7b,0.3,1.9
599,22145fe75,0.2,2.3
600,e7b3f752a,0.5,2.2
601,26dfe8b29,0.4,0.9
602,27a776558,0.3,2.0
603,0858e3a6e,0.5,1.6
604,fe3d0c6e4,-0.1,0.1
605,2619f003d,0.2,2.5
606,20a9ffb5c,0.0,3.4
607,6c9e1c82f,0.2,1.7
608,605f9cd41,0.5,1.0
609,cef0e42a5,-0.1,0.5
610,51366110e,0.3,1.2
611,9a965c1f0,0.0,0.1
612,3ff4a6c99,0.0,1.0
613,fe9307848,0.9,0.9
614,1edbf1acd,0.4,2.7
615,9b8805c58,0.1,0.1
616,dae92dd61,0.6,2.4
617,1fd342e17,0.6,1.8
618,6c4d7b09f,0.8,0.8
619,92a173c59,0.4,2.4
620,e4c9325d9,0.1,3.3
621,1b368f29c,0.0,3.1
622,d6aa1281f,0.4,1.0
623,ca74b17a9,0.1,1.6
624,167233db2,0.0,0.0
625,b16afc5dc,0.8,0.8
626,4831c683c,0.1,1.5
627,d3a92c453,0.0,3.0
628,870e5566b,0.1,0.1
629,f580ba98c,0.3,1.1
630,833c51fd2,0.1,0.6
631,6c5b67698,0.3,0.6
632,50d1c2157,0.0,0.0
633,de1f49c9d,0.8,2.5
634,3bb49d7d9,0.1,0.1
635,1250404cf,0.0,0.3
636,503a567ed,0.5,1.6
637,4540f8e9c,0.5,5.3
638,cfe4df8c6,0.0,0.0
639,3813bc7c5,0.6,1.9
640,21a56b530,0.0,2.3
641,76c194060,0.1,1.2
642,f1dc8864e,0.1,2.0
643,b1fb61b31,0.2,3.0
644,d734c881a,0.9,2.8
645,933b2b3d4,0.1,1.2
646,8c3d81083,0.1,0.3
647,4ba068d30,0.8,0.8
648,bc9c5a76d,-0.3,3.5
649,af49cf598,0.0,0.1
650,54224dada,-0.3,2.1
651,5346481de,0.2,0.7
652,b5974bdd0,0.3,3.5
653,accca912b,0.9,0.9
654,6eb8a8e8e,-0.2,0.4
655,999d24492,0.0,2.0
656,cde0d8e8e,0.4,4.2
657,db3fce97e,0.5,1.0
658,eb5dc081c,0.9,0.9
659,eaf13651e,0.9,0.9
660,1c4d99f6e,0.4,1.2
661,8d6c8d486,0.4,5.3
662,5d622bf92,0.2,5.3
663,1d867b8ee,0.9,1.8
664,03a92a94f,0.3,1.0
665,640e0b69b,0.0,1.9
666,ab3d83bd1,0.6,1.9
667,07102e682,0.0,0.0
668,dd0d78496,0.5,0.5
669,2c07c1abf,0.6,1.8
670,93b1ca32c,0.2,2.8
671,682cbe0f9,0.5,6.1
672,1e7a3b766,0.3,3.2
673,2a64c0560,0.0,1.0
674,acde4eb5b,0.2,0.9
675,b5475edf9,0.1,0.1
676,c7cfbc8e9,0.0,1.6
677,25d4c7493,0.9,1.8
678,9d6c6055b,0.0,1.5
679,7e4ac998c,0.2,3.6
680,6210026f5,0.7,0.7
681,be23e42d0,0.5,1.5
682,3595648ea,0.1,0.2
683,7f352f8dc,0.2,2.4
684,611970ebc,0.3,1.5
685,b7856db41,0.0,0.0
686,879c40dfa,0.0,0.2
687,1498a5e81,0.4,1.8
688,e348d720a,0.2,2.2
689,7efb36b65,0.2,0.2
690,9c0f6076a,-0.1,2.8
691,8a4c95abd,0.0,1.1
692,ba58bb1a4,0.1,2.6
693,170fa3d49,0.0,1.0
694,6d994c50c,-0.6,0.6
695,387a8e71a,0.3,0.3
696,3de6bc035,0.6,0.6
697,7e681c7eb,0.0,0.0
698,a86ec27e9,0.0,0.0
699,d8179f4d9,-0.1,1.9
700,8abb96298,0.9,0.9
701,e039f2392,0.4,1.3
702,521320b95,0.2,1.4
703,0b051c8b3,0.5,3.7
704,803c3b444,0.3,2.5
705,82dd5838f,0.0,4.2
706,a72a34bdf,0.0,2.9
707,ce4484c3d,0.3,0.6
708,88e2d97b2,0.5,0.5
709,078bf7e5a,0.5,1.1
710,704737525,0.6,1.3
711,35b728d0d,0.2,3.2
712,311e28b8b,0.1,1.5
713,cdb855a69,0.0,3.9
714,969634296,0.1,0.8
715,d4dd82200,0.4,1.8
716,e3fb26abc,0.8,2.6
717,63cc8aa47,0.2,0.9
718,0f544b558,0.0,4.6
719,9ea482068,0.5,2.5
720,66dbc2985,0.1,2.2
721,c69af3423,0.2,2.6
722,c06d167ca,0.1,0.5
723,8c5bf2766,0.9,0.9
724,1cbe873e7,-0.2,1.8
725,0e4cf50f4,0.2,1.0
726,bb74a9d58,0.3,5.1
727,4a108fa61,0.0,0.0
728,059a68bf0,0.1,3.9
729,dd79180bc,0.1,1.1
730,3ee594f5a,0.2,12.5
731,b968b85c1,0.2,1.5
732,6c7251bc8,0.4,1.7
733,68a6c1a24,0.1,1.6
734,c39c602a7,0.2,3.9
735,266aee5b3,0.1,3.8
736,a8e79c8c4,0.5,2.3
737,d0a66003d,0.0,0.0
738,14357e2ed,0.4,2.9
739,2f43fb067,0.3,1.1
740,1fb9fdf7f,0.0,0.0
741,df07fa1b0,0.0,3.5
742,f796b0a30,0.5,8.3
743,90a7474ec,0.8,1.6
744,0fe8ffc8e,0.4,1.9
745,314e041cc,0.4,2.6
746,97d823486,0.3,1.7
747,f31cebfd0,0.0,0.2
748,2b7509f97,0.6,2.0
749,8910ea0f4,0.5,1.8
750,4f0eacbdd,0.0,0.0
751,a7f77b3bd,0.5,2.6
752,207aa47a6,0.2,0.2
753,84b297843,0.2,0.2
754,ab599a6ac,-0.1,0.7
755,8dea6d23b,0.1,1.7
756,180f1ef16,0.1,1.4
757,b6450abed,0.3,2.4
758,d43834f69,0.4,1.3
759,78fd8ce0d,0.6,3.2
760,111be067f,0.0,0.0
761,ea1318971,0.4,3.2
762,414d8422f,0.4,0.8
763,eef0fa0ef,0.4,0.8
764,a662626a6,0.0,0.4
765,e94f842c0,0.2,1.4
766,79e510cb9,0.1,4.1
767,c7315e345,0.2,0.5
768,d2dd7e8c2,0.1,0.7
769,afa1e2afb,0.6,2.5
770,ee7d6cf3f,0.7,2.1
771,6c04edd3c,0.5,1.1
772,b1be2a9e8,0.0,1.9
773,d2eda3337,0.9,0.9
774,2502292c8,0.6,13.4
775,b497fb8eb,0.1,3.3
776,ccbaa4592,0.1,1.6
777,372d1784a,0.3,1.6
778,edd8e11d2,0.4,1.1
779,3fe9fc6d9,0.9,0.9
780,181823d5f,0.7,3.8
781,8d7c78428,0.6,1.8
782,b6fbfa344,0.3,25.0
783,faa139539,0.5,3.0
784,369da3ef0,0.1,1.0
785,1930bcf64,0.0,0.1
786,4cc05c35d,0.3,2.2
787,65f56897d,0.2,0.8
788,c32940f0f,0.3,4.3
789,36e02d379,0.4,1.1
790,f00413d87,0.8,0.8
791,d0b337200,0.2,0.4
792,2a5e70892,0.5,2.1
793,4518f180e,0.0,1.9
794,81614060c,0.2,5.6
795,0de6709ab,0.3,1.5
796,4695c4fb3,0.9,0.9
797,80aca536a,0.4,5.0
798,47fb86cbd,0.1,0.3
799,a631eba2c,0.2,2.8
800,bd3fb8531,0.0,3.2
801,df26f1098,0.5,3.4
802,f500d6361,0.3,1.1
803,6326958d4,0.0,5.4
804,06296e4e2,0.3,2.3
805,c5e4cfab0,0.2,4.7
806,2a36bc3b5,0.1,0.1
807,38fc09756,0.2,1.4
808,a426ef14d,0.7,1.5
809,20d4ea30e,0.5,1.6
810,c6de9b701,-0.6,0.6
811,0d6b42991,0.2,2.2
812,db0213107,0.3,1.7
813,406a1e534,0.1,0.1
814,f02ef09d7,0.5,1.7
815,e42dc215d,0.5,2.8
